X,Y,name,longitude,latitude,WKT,icon_url
32.03812,-6.60634,Kafuru P/S,"32.0381","-6.60634",POINT Z (32.03811999999999 -6.606339999999986 0),
31.3605,-7.68606,Milundikwa[847 KJ] Hill,"31.3605","-7.68606",POINT Z (31.36050000000001 -7.686060000000001 0),
31.17176,-8.57147,Kapele,"31.1718","-8.57147",POINT Z (31.17176000000002 -8.571470000000014 0),
32.78255,-8.88595,Itaka 845 KJ Hill,"32.7826","-8.88595",POINT Z (32.78255 -8.885950000000001 0),
35.93336,-5.6651,Solowu,"35.9334","-5.6651",POINT Z (35.93336 -5.665100000000002 0),
35.31102,-5.20493,Dinae,"35.311","-5.20493",POINT Z (35.31101999999997 -5.20492999999999 0),
35.71456,-5.54155,Humekwa,"35.7146","-5.54155",POINT Z (35.71456000000001 -5.541549999999993 0),
35.39386,-5.355,Motto Hill,"35.3939","-5.355",POINT Z (35.39385999999999 -5.35499999999999 0),
36.09393,-6.86151,Wiyenzele Hill,"36.0939","-6.86151",POINT Z (36.09393000000001 -6.861510000000015 0),
35.079417,-7.844472,Makifu,"35.0794","-7.84447",POINT Z (35.07941700000001 -7.844471999999993 0),
36.06142,-7.291252,Nyakavangala Dispensary,"36.0614","-7.29125",POINT Z (36.06142000000001 -7.29125199999999 0),
35.22419,-8.9617,Idete,"35.2242","-8.9617",POINT Z (35.22419 -8.961700000000016 0),
34.09002,-9.06386,Matenga P/S,"34.09","-9.06386",POINT Z (34.09002 -9.063860000000014 0),
34.31252,-9.4726,Maliwa Hill,"34.3125","-9.4726",POINT Z (34.31252000000002 -9.472600000000007 0),
34.94094,-10.11951,Ibumi,"34.9409","-10.1195",POINT Z (34.94094 -10.11951 0),
36.04293,-10.99037,Tuonane P/S,"36.0429","-10.9904",POINT Z (36.04293 -10.99037000000001 0),
36.93179,-11.5488,Wenje P/S,"36.9318","-11.5488",POINT Z (36.93178999999999 -11.5488 0),
34.80225,-10.94017,Mahilo Hill,"34.8023","-10.9402",POINT Z (34.80225 -10.94017000000001 0),
35.1036,-10.27732,Kingoli,"35.1036","-10.2773",POINT Z (35.10359999999999 -10.27732 0),
34.82592,-10.92193,Njombe P/S,"34.8259","-10.9219",POINT Z (34.82591999999999 -10.92193000000001 0),
34.47732,-8.57637,Mlembule P/S,"34.4773","-8.57637",POINT Z (34.47731999999998 -8.576370000000006 0),
34.85218,-8.16545,Nyamakuyu Hill,"34.8522","-8.16545",POINT Z (34.85218000000001 -8.165449999999996 0),
34.74852,-8.28372,Nyakazombe P/S,"34.7485","-8.28372",POINT Z (34.74852 -8.283719999999988 0),
30.81181,-7.88541,Lyapinda,"30.8118","-7.88541",POINT Z (30.81181 -7.885410000000008 0),
38.08014,-4.9733,Mpasilasi,"38.0801","-4.9733",POINT Z (38.08013999999999 -4.973299999999988 0),
37.61991,-5.04958,Saunyi Hill,"37.6199","-5.04958",POINT Z (37.61991 -5.049579999999992 0),
37.28918,-5.93204,Msamvu,"37.2892","-5.93204",POINT Z (37.28917999999999 -5.932040000000005 0),
37.43246,-2.91722,Endonet Hill,"37.4325","-2.91722",POINT Z (37.43245999999999 -2.917219999999983 0),
36.50672,-2.49281,Ngoswaki Hill,"36.5067","-2.49281",POINT Z (36.50672000000001 -2.492809999999992 0),
35.63187,-4.04284,Kokomay Hill,"35.6319","-4.04284",POINT Z (35.63186999999998 -4.042840000000019 0),
35.13297,-4.04537,Philipo Marmo Sec/s,"35.133","-4.04537",POINT Z (35.13296999999999 -4.045369999999999 0),
35.59141,-3.91473,Kainam Sec/School,"35.5914","-3.91473",POINT Z (35.59140999999998 -3.914729999999991 0),
37.02024,-4.06544,Losokonoi(LEMILEBO),"37.0202","-4.06544",POINT Z (37.02023999999999 -4.065439999999986 0),
36.93119,-4.33493,Lengejape Hill,"36.9312","-4.33493",POINT Z (36.93119000000003 -4.334929999999986 0),
36.95724,-4.23187,Irikunyinyi,"36.9572","-4.23187",POINT Z (36.95724000000002 -4.231869999999982 0),
37.30715,-4.91892,Kitwai B P/S,"37.3072","-4.91892",POINT Z (37.30715000000002 -4.918920000000007 0),
37.49045,-4.64832,Lerumo,"37.4905","-4.64832",POINT Z (37.49045000000002 -4.648320000000012 0),
36.34743,-5.00319,Katikati P/S,"36.3474","-5.00319",POINT Z (36.34743 -5.003189999999995 0),
37.03524,-5.83923,Olgira Hill,"37.0352","-5.83923",POINT Z (37.03523999999997 -5.839229999999988 0),
34.71387,-1.74275,Mbalibali P/S,"34.7139","-1.74275",POINT Z (34.71386999999999 -1.742750000000006 0),
30.5869,-4.52512,Sakwazi Hill,"30.5869","-4.52512",POINT Z (30.58690000000002 -4.525119999999985 0),
32.95382,-5.39937,Magua Hill,"32.9538","-5.39937",POINT Z (32.95381999999999 -5.399369999999997 0),
33.33622,-5.38213,Nyahua P/S,"33.3362","-5.38213",POINT Z (33.33621999999998 -5.382129999999991 0),
34.04328,-5.13798,Iyumbu P/S,"34.0433","-5.13798",POINT Z (34.04328000000002 -5.137979999999991 0),
35.18453,-6.58195,Mangoli P/S,"35.1845","-6.58195",POINT Z (35.18453000000001 -6.581950000000014 0),
36.90429,-6.40052,Ibani Hill(Nkobwe),"36.9043","-6.40052",POINT Z (36.90429000000001 -6.40052 0),
36.70442,-8.90431,Jungua Hill(Ruaha),"36.7044","-8.90431",POINT Z (36.70441999999998 -8.90431000000001 0),
38.95333611,-8.378744,Mwengei,"38.9533","-8.37874",POINT Z (38.95333611000002 -8.378744000000019 0),
39.04654,-8.39859,Pungutini,"39.0465","-8.39859",POINT Z (39.04654 -8.398590000000016 0),
38.86361,-8.43168,Nandete,"38.8636","-8.43168",POINT Z (38.86360999999999 -8.431680000000005 0),
39.1189,-8.4966,Muungano Dispensary,"39.1189","-8.4966",POINT Z (39.1189 -8.496600000000008 0),
39.23908,-9.88914,Mputwa,"39.2391","-9.88914",POINT Z (39.23908000000002 -9.88913999999999 0),
37.97594,-10.54105,Namatunu,"37.9759","-10.5411",POINT Z (37.97594000000002 -10.54105000000001 0),
38.3743,-10.17825,Lipuyu,"38.3743","-10.1783",POINT Z (38.3743 -10.17824999999999 0),
38.15424,-10.30915,NAHIMBA,"38.1542","-10.3092",POINT Z (38.15424000000003 -10.30914999999999 0),
38.785026,-10.843545,Navai PS,"38.785","-10.8435",POINT Z (38.785026 -10.843545 0),
39.06258,-8.32416,Tumbalio Hill,"39.0626","-8.32416",POINT Z (39.06258000000002 -8.324160000000004 0),
39.06366,-7.80527,Mangwi,"39.0637","-7.80527",POINT Z (39.06366000000001 -7.805270000000011 0),
39.18766,-7.88917,Mtunda B,"39.1877","-7.88917",POINT Z (39.18765999999998 -7.889170000000001 0),
39.07602,-7.92613,Muyuyu,"39.076","-7.92613",POINT Z (39.07602000000001 -7.926129999999992 0),
38.34688,-7.83666,Mtanza-Msona,"38.3469","-7.83666",POINT Z (38.34688000000001 -7.836659999999989 0),
39.71055,-5.29222,Mgelema,"39.7105","-5.29222",POINT Z (39.71055000000002 -5.292219999999994 0),
39.68395,-4.93546,Tondooni,"39.684","-4.93546",POINT Z (39.68395 -4.935460000000007 0),
36.66123,-3.30557,Kimnyaki,"36.6612","-3.30557",POINT Z (36.66122999999997 -3.305569999999989 0),
36.65603,-3.56468,Mbuyuni,"36.656","-3.56468",POINT Z (36.65602999999998 -3.564680000000016 0),
35.43092,-6.16148,Chikola Pr School,"35.4309","-6.16148",POINT Z (35.43092 -6.161480000000021 0),
