X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,longitude,latitude,icon_url
39.31626944,-9.05986944,Mchakama,,,,,,"-1","0","-1",,,39.3163,-9.05987,
37.83545,-9.53113056,Barikiwa,,,,,,"-1","0","-1",,,37.8355,-9.53113,
32.94303056,-8.53728056,Totowe,,,,,,"-1","0","-1",,,32.943,-8.53728,
38.00441667,-7.23455556,Kiganila,,,,,,"-1","0","-1",,,38.0044,-7.23456,
38.58868889,-10.63558056,Mkwapa,,,,,,"-1","0","-1",,,38.5887,-10.6356,
38.66052,-11.23874,Marumba Mbuyuni,,,,,,"-1","0","-1",,,38.6605,-11.2387,
38.57606944,-11.13962,Namijati,,,,,,"-1","0","-1",,,38.5761,-11.1396,
33.51162,-2.46609,YITWIMILA �A�,,,,,,"-1","0","-1",,,33.5116,-2.46609,
37.27403,-3.74108,Olchoronyori,,,,,,"-1","0","-1",,,37.274,-3.74108,
35.14482778,-3.95576389,Yaeda Chini,,,,,,"-1","0","-1",,,35.1448,-3.95576,
35.24788889,-3.91238889,Mongo wa mono,,,,,,"-1","0","-1",,,35.2479,-3.91239,
36.62794444,-5.31775,Mbigiri,,,,,,"-1","0","-1",,,36.6279,-5.31775,
36.56422222,-5.44375,Namelok,,,,,,"-1","0","-1",,,36.5642,-5.44375,
36.56561944,-3.84081944,Loswaki,,,,,,"-1","0","-1",,,36.5656,-3.84082,
38.47013889,-7.85766111,Kipugira,,,,,,"-1","0","-1",,,38.4701,-7.85766,
37.5217,-10.85756111,Majimaji Darajani,,,,,,"-1","0","-1",,,37.5217,-10.8576,
36.65741111,-10.80188056,Hulia NICTBB,,,,,,"-1","0","-1",,,36.6574,-10.8019,
35.87836944,-10.25741111,Luhangano,,,,,,"-1","0","-1",,,35.8784,-10.2574,
35.37883056,-9.87171111,Madaba,,,,,,"-1","0","-1",,,35.3788,-9.87171,
35.23521,-11.41132,Matunduru Hill,,,,,,"-1","0","-1",,,35.2352,-11.4113,
33.9461,-6.08713,KIYOMBO,,,,,,"-1","0","-1",,,33.9461,-6.08713,
34.41855556,-3.70544444,MWONJORO SS,,,,,,"-1","0","-1",,,34.4186,-3.70544,
34.26864,-2.63435,NGE�SHA,,,,,,"-1","0","-1",,,34.2686,-2.63435,
34.239,-2.77761111,ZAGWA HILL,,,,,,"-1","0","-1",,,34.239,-2.77761,
33.68948889,-5.36803056,ALEX PS,,,,,,"-1","0","-1",,,33.6895,-5.36803,
32.939,-5.71041667,USUNGA MNADANI,,,,,,"-1","0","-1",,,32.939,-5.71042,
32.09122222,-5.17547222,NSENDA MLIMANI,,,,,,"-1","0","-1",,,32.0912,-5.17547,
32.33882,-5.24213,NSOGOLO PS,,,,,,"-1","0","-1",,,32.3388,-5.24213,
38.13733056,-5.22876944,Msempe Hill,,,,,,"-1","0","-1",,,38.1373,-5.22877,
38.13551111,-5.33261944,Kibaya,,,,,,"-1","0","-1",,,38.1355,-5.33262,
36.91634,-3.7286,Shambarai Hill,,,,,,"-1","0","-1",,,36.9163,-3.7286,
37.84845,-7.79428,RUBADA CAMPS,,,,,,"-1","0","-1",,,37.8484,-7.79428,
38.26743,-7.77994,MWASENI PS,,,,,,"-1","0","-1",,,38.2674,-7.77994,
37.90094,-7.80159,SERENA HOTEL,,,,,,"-1","0","-1",,,37.9009,-7.80159,
35.2628,-3.23744,Enduleni,,,,,,"-1","0","-1",,,35.2628,-3.23744,
35.79178,-5.3346,Gwandi,,,,,,"-1","0","-1",,,35.7918,-5.3346,
35.3054,-5.13802,Manantu,,,,,,"-1","0","-1",,,35.3054,-5.13802,
35.34312,-6.44122,Nondwa,,,,,,"-1","0","-1",,,35.3431,-6.44122,
35.97174,-5.2574,Ombili (Chemba),,,,,,"-1","0","-1",,,35.9717,-5.2574,
35.23838,-5.18694,Ovada,,,,,,"-1","0","-1",,,35.2384,-5.18694,
37.46333,-3.82477,Nyumba ya Mungu (Ngorika),,,,,,"-1","0","-1",,,37.4633,-3.82477,
37.9174,-10.4116,Kiegei,,,,,,"-1","0","-1",,,37.9174,-10.4116,
33.66441,-8.43881,Shoga Hill (Chalangwa),,,,,,"-1","0","-1",,,33.6644,-8.43881,
36.5276,-8.511,Kidugalo,,,,,,"-1","0","-1",,,36.5276,-8.511,
37.1135,-5.8267,Lumotoi,,,,,,"-1","0","-1",,,37.1135,-5.8267,
37.9634,-7.0446,Tununguo,,,,,,"-1","0","-1",,,37.9634,-7.0446,
37.10199,-5.71551,Sunya,,,,,,"-1","0","-1",,,37.102,-5.71551,
35.22501,-11.00757,Kihungu,,,,,,"-1","0","-1",,,35.225,-11.0076,
36.33553,-10.58795,Mchomoro (Namtumbo),,,,,,"-1","0","-1",,,36.3355,-10.5879,
37.36158,-11.3835,Mwenge (Mchesi),,,,,,"-1","0","-1",,,37.3616,-11.3835,
36.9932,-11.45146,Nalasi,,,,,,"-1","0","-1",,,36.9932,-11.4515,
34.51744,-3.90034,Bukundi,,,,,,"-1","0","-1",,,34.5174,-3.90034,
33.165066,-3.482351,Kilulu,,,,,,"-1","0","-1",,,33.1651,-3.48235,
31.1796,-7.85549,Kate Hill UCSAF P. 3,,,,,,"-1","0","-1",,,31.1796,-7.85549,
37.08495,-11.58969,Nasomba P/S UCSAF P. 3,,,,,,"-1","0","-1",,,37.0849,-11.5897,
38.886019,-11.158169,Mbangara UCSAF P. 3,,,,,,"-1","0","-1",,,38.886,-11.1582,
33.828045,-8.422182,Msanga P/S UCSAF P. 3,,,,,,"-1","0","-1",,,33.828,-8.42218,
35.941586,-6.65875,Mtumba,,,,,,"-1","0","-1",,,35.9416,-6.65875,
35.9734,-6.10592,VIKONJE,,,,,,"-1","0","-1",,,35.9734,-6.10592,
40.11046,-10.56752,Chawi Sec/S,,,,,,"-1","0","-1",,,40.1105,-10.5675,
40.15803,-10.58074,Ngonja PS,,,,,,"-1","0","-1",,,40.158,-10.5807,
40.15242,-10.52083,Navikole P/S,,,,,,"-1","0","-1",,,40.1524,-10.5208,
40.14353,-10.60212,Bandari Hill,,,,,,"-1","0","-1",,,40.1435,-10.6021,
40.11399,-10.70195,Mayembe Chini Dispensary,,,,,,"-1","0","-1",,,40.114,-10.702,
39.90536,-10.69934,Mbembaleo P/S,,,,,,"-1","0","-1",,,39.9054,-10.6993,
39.9591,-10.71772,Mkahara P/S,,,,,,"-1","0","-1",,,39.9591,-10.7177,
39.78619,-10.47955,Mnima Sec/S,,,,,,"-1","0","-1",,,39.7862,-10.4795,
39.66031,-10.59523,Nyundo B p/s,,,,,,"-1","0","-1",,,39.6603,-10.5952,
39.72993,-10.66033,Niktekela P/S,,,,,,"-1","0","-1",,,39.7299,-10.6603,
38.36288,-9.42315,Kimambi,,,,,,"-1","0","-1",,,38.3629,-9.42315,
33.47433,-4.14345,Ngulu Mpakani,,,,,,"-1","0","-1",,,33.4743,-4.14345,
33.56886,-4.51507,Malagano P/S,,,,,,"-1","0","-1",,,33.5689,-4.51507,
33.60472,-4.74738,Igoweko Dispensary,,,,,,"-1","0","-1",,,33.6047,-4.74738,
33.71262,-4.796,Buhekela P/S,,,,,,"-1","0","-1",,,33.7126,-4.796,
31.05198,-8.12941,King'ombe P/S,,,,,,"-1","0","-1",,,31.052,-8.12941,
30.9722,-8.13333,Kala,,,,,,"-1","0","-1",,,30.9722,-8.13333,
31.06662,-8.23338,Mlambo,,,,,,"-1","0","-1",,,31.0666,-8.23338,
30.95457,-8.18223,Mpasa P/S,,,,,,"-1","0","-1",,,30.9546,-8.18223,
31.70035,-3.01363,Igando,,,,,,"-1","0","-1",,,31.7004,-3.01363,
35.41851,-7.87812,Igangidung'u S/S,,,,,,"-1","0","-1",,,35.4185,-7.87812,
34.80328,-8.64705,Idunda Dispensary,,,,,,"-1","0","-1",,,34.8033,-8.64705,
34.74666,-8.42946,Kwatwanga PS,,,,,,"-1","0","-1",,,34.7467,-8.42946,
35.42513,-8.27641,Itimbo,,,,,,"-1","0","-1",,,35.4251,-8.27641,
30.330779,-3.87406,Kitanga PS,,,,,,"-1","0","-1",,,30.3308,-3.87406,
39.35492,-8.63231,Mtoni P/S,,,,,,"-1","0","-1",,,39.3549,-8.63231,
39.60265,-10.51303,Chiuta Dispensary,,,,,,"-1","0","-1",,,39.6026,-10.513,
38.25608,-10.24498,Nahoro Dispensary,,,,,,"-1","0","-1",,,38.2561,-10.245,
37.91775,-9.89581,Likombora Dispensary,,,,,,"-1","0","-1",,,37.9177,-9.89581,
34.011665,-1.7289,Bumangi SS,,,,,,"-1","0","-1",,,34.0117,-1.7289,
34.34911,-1.39932,Kewamamba PS,,,,,,"-1","0","-1",,,34.3491,-1.39932,
34.44296,-1.91991,Mosongo,,,,,,"-1","0","-1",,,34.443,-1.91991,
33.42693,-9.0224,Igale Hill,,,,,,"-1","0","-1",,,33.4269,-9.0224,
33.38138,-8.82432,Iwanza Hill,,,,,,"-1","0","-1",,,33.3814,-8.82432,
38.217,-6.67529,Matuli,,,,,,"-1","0","-1",,,38.217,-6.67529,
39.41437,-10.44895,Ngunja Dispensary,,,,,,"-1","0","-1",,,39.4144,-10.4489,
39.33387,-10.98839,Nanguruwe,,,,,,"-1","0","-1",,,39.3339,-10.9884,
38.785026,-10.843545,Navai PS,,,,,,"-1","0","-1",,,38.785,-10.8435,
39.80133,-5.02724,Dodeani Shuleni,,,,,,"-1","0","-1",,,39.8013,-5.02724,
39.81605,-5.05669,Mibiligini Kiungoni,,,,,,"-1","0","-1",,,39.816,-5.05669,
39.7456,-4.94276,Konde,,,,,,"-1","0","-1",,,39.7456,-4.94276,
39.03248,-7.62228,Nyambili,,,,,,"-1","0","-1",,,39.0325,-7.62228,
39.168875,-7.628191,Tomoni,,,,,,"-1","0","-1",,,39.1689,-7.62819,
39.31424,-8.10049,Mbuchi,,,,,,"-1","0","-1",,,39.3142,-8.10049,
35.77713,-10.55357,Mtakanini P/S,,,,,,"-1","0","-1",,,35.7771,-10.5536,
35.47985,-10.5197,Litowa,,,,,,"-1","0","-1",,,35.4798,-10.5197,
33.893223,-2.738792,Mhango PS,,,,,,"-1","0","-1",,,33.8932,-2.73879,
33.941159,-3.240804,Suligi PS,,,,,,"-1","0","-1",,,33.9412,-3.2408,
33.814178,-3.437157,Busilili Dispensary,,,,,,"-1","0","-1",,,33.8142,-3.43716,
34.133074,-3.268693,Mwandu Itinje PS,,,,,,"-1","0","-1",,,34.1331,-3.26869,
34.317776,-3.015609,Mwashata PS,,,,,,"-1","0","-1",,,34.3178,-3.01561,
